Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 147.0.7727.138,,,07-05-2026 11:41:11,07-05-2026 11:41:48,36.330s,PASSED
,,,,,,,
Test Cases/Login Verification/Login with empty input,Chrome 147.0.7727.138,,auth,07-05-2026 11:41:11,07-05-2026 11:41:18,6.076s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,07-05-2026 11:41:12,07-05-2026 11:41:14,2.356s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,07-05-2026 11:41:14,07-05-2026 11:41:15,0.674s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/icon_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 11:41:15,07-05-2026 11:41:16,1.303s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/email_field""))",Chrome 147.0.7727.138,,,07-05-2026 11:41:16,07-05-2026 11:41:17,0.792s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/password_field""))",Chrome 147.0.7727.138,,,07-05-2026 11:41:17,07-05-2026 11:41:17,0.255s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/btn_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 11:41:17,07-05-2026 11:41:17,0.250s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/page_login""))",Chrome 147.0.7727.138,,,07-05-2026 11:41:17,07-05-2026 11:41:17,0.259s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,07-05-2026 11:41:17,07-05-2026 11:41:18,0.095s,PASSED
,,,,,,,
Test Cases/Login Verification/Login with SQL-Injection,Chrome 147.0.7727.138,,auth,07-05-2026 11:41:18,07-05-2026 11:41:22,4.753s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,07-05-2026 11:41:18,07-05-2026 11:41:19,1.010s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,07-05-2026 11:41:19,07-05-2026 11:41:20,1.164s,PASSED
"click(findTestObject(""Login with SQL-Injection/Page_QWERTY E-Commerce/icon_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 11:41:20,07-05-2026 11:41:20,0.563s,PASSED
"setText(findTestObject(""Login with SQL-Injection/Page_QWERTY E-Commerce/email_field""), ""' OR '1'='1"")",Chrome 147.0.7727.138,,,07-05-2026 11:41:20,07-05-2026 11:41:21,1.118s,PASSED
"setEncryptedText(findTestObject(""Login with SQL-Injection/Page_QWERTY E-Commerce/password_field""), ""Xxl7BQJ3OEM="")",Chrome 147.0.7727.138,,,07-05-2026 11:41:21,07-05-2026 11:41:22,0.260s,PASSED
"click(findTestObject(""Login with SQL-Injection/Page_QWERTY E-Commerce/btn_sign_in""), STOP_ON_FAILURE)",Chrome 147.0.7727.138,,,07-05-2026 11:41:22,07-05-2026 11:41:22,0.262s,PASSED
