Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 147.0.7727.138,,,07-05-2026 12:22:06,07-05-2026 12:23:24,1m - 17.677s,PASSED
,,,,,,,
Test Cases/Login Verification/Login with valid credentials,Chrome 147.0.7727.138,,auth,07-05-2026 12:22:06,07-05-2026 12:22:17,10.474s,PASSED
"DATA BINDING - {""password"":""User@001"",""email"":""test01@qwerty.com""}",,,,,,,
"openBrowser("""")",Chrome 147.0.7727.138,,,07-05-2026 12:22:06,07-05-2026 12:22:08,1.914s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,07-05-2026 12:22:08,07-05-2026 12:22:11,2.670s,PASSED
"click(findTestObject(""Login with valid credentials/Page_QWERTY E-Commerce/icon_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:11,07-05-2026 12:22:11,0.517s,PASSED
"setText(findTestObject(""Login with valid credentials/Page_QWERTY E-Commerce/email_field""), email)",Chrome 147.0.7727.138,,,07-05-2026 12:22:11,07-05-2026 12:22:13,1.719s,PASSED
"setText(findTestObject(""Login with valid credentials/Page_QWERTY E-Commerce/password_field""), password)",Chrome 147.0.7727.138,,,07-05-2026 12:22:13,07-05-2026 12:22:14,0.830s,PASSED
"click(findTestObject(""Login with valid credentials/Page_QWERTY E-Commerce/btn_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:14,07-05-2026 12:22:14,0.578s,PASSED
"click(findTestObject(""Login with valid credentials/Page_QWERTY E-Commerce/box_icon_profile""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:14,07-05-2026 12:22:16,2.055s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,07-05-2026 12:22:16,07-05-2026 12:22:17,0.091s,PASSED
,,,,,,,
Test Cases/Login Verification/Login with invalid credentials,Chrome 147.0.7727.138,,auth,07-05-2026 12:22:17,07-05-2026 12:22:22,5.973s,PASSED
"DATA BINDING - {""password"":""User@000"",""email"":""test01@qwerty.com""}",,,,,,,
"openBrowser("""")",Chrome 147.0.7727.138,,,07-05-2026 12:22:17,07-05-2026 12:22:17,0.942s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,07-05-2026 12:22:17,07-05-2026 12:22:19,1.488s,PASSED
"click(findTestObject(""Login with invalid credentials/Page_QWERTY E-Commerce/icon_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:19,07-05-2026 12:22:20,0.670s,PASSED
"setText(findTestObject(""Login with invalid credentials/Page_QWERTY E-Commerce/email_field""), email)",Chrome 147.0.7727.138,,,07-05-2026 12:22:20,07-05-2026 12:22:21,1.098s,PASSED
"setText(findTestObject(""Login with invalid credentials/Page_QWERTY E-Commerce/password_field""), password)",Chrome 147.0.7727.138,,,07-05-2026 12:22:21,07-05-2026 12:22:21,0.497s,PASSED
"click(findTestObject(""Login with invalid credentials/Page_QWERTY E-Commerce/btn_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:21,07-05-2026 12:22:21,0.261s,PASSED
"click(findTestObject(""Login with invalid credentials/Page_QWERTY E-Commerce/msg_invalid_email_or_password""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:21,07-05-2026 12:22:22,0.911s,PASSED
closeBrowser(),Chrome 147.0.7727.138,,,07-05-2026 12:22:22,07-05-2026 12:22:22,0.086s,PASSED
,,,,,,,
Test Cases/Login Verification/Login with empty input,Chrome 147.0.7727.138,,auth,07-05-2026 12:22:22,07-05-2026 12:22:28,5.154s,PASSED
"openBrowser("""")",Chrome 147.0.7727.138,,,07-05-2026 12:22:23,07-05-2026 12:22:24,1.017s,PASSED
"navigateToUrl(""https://qwerty.abiyyu.xyz/"")",Chrome 147.0.7727.138,,,07-05-2026 12:22:24,07-05-2026 12:22:25,1.824s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/icon_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:25,07-05-2026 12:22:26,0.668s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/email_field""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:26,07-05-2026 12:22:27,0.781s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/password_field""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:27,07-05-2026 12:22:27,0.262s,PASSED
"click(findTestObject(""Login with empty input/Page_QWERTY E-Commerce/btn_sign_in""))",Chrome 147.0.7727.138,,,07-05-2026 12:22:27,07-05-2026 12:22:27,0.254s,PASSED
